cliente_id,idade,cidade,renda_mensal,plano,valor_mensalidade,tempo_de_casa_meses,qtd_acessos_mes,qtd_chamados_suporte,atraso_pagamento,churn
1,42,Curitiba,3098.92,Premium,119.9,39,3.0,2,0,0
2,26,São Paulo,2189.34,Básico,29.9,53,3.0,3,0,0
3,47,Rio de Janeiro,5390.29,Básico,29.9,56,7.0,0,0,0
4,49,São Paulo,5512.7,Padrão,59.9,34,8.0,1,0,0
5,18,São Paulo,6217.2,Básico,29.9,43,8.0,2,0,0
6,22,Rio de Janeiro,5999.96,Padrão,59.9,55,9.0,4,0,0
7,40,São Paulo,4321.99,Básico,29.9,47,6.0,0,0,0
8,34,Curitiba,2140.43,Básico,29.9,18,5.0,3,0,0
9,38,Recife,3925.61,Padrão,59.9,8,2.0,1,0,0
10,28,Curitiba,4591.02,Padrão,59.9,7,6.0,1,0,0
11,49,São Paulo,4466.25,Padrão,59.9,53,20.0,1,0,0
12,47,São Paulo,3729.79,Padrão,59.9,33,12.0,2,0,0
13,39,São Paulo,4985.19,Padrão,59.9,18,8.0,3,0,1
14,52,São Paulo,4012.88,Padrão,59.9,21,6.0,0,0,0
15,44,Recife,3549.48,Padrão,59.9,17,5.0,2,0,0
16,28,Rio de Janeiro,4760.62,Padrão,59.9,48,11.0,0,0,0
17,42,São Paulo,3896.41,Padrão,59.9,37,8.0,2,1,0
18,26,Curitiba,,Básico,29.9,52,8.0,3,1,0
19,49,Rio de Janeiro,5321.77,Básico,29.9,18,7.0,2,0,0
20,37,São Paulo,2419.03,Padrão,59.9,28,3.0,2,0,1
21,36,São Paulo,3573.77,Premium,119.9,8,8.0,0,0,0
22,30,Belo Horizonte,6848.0,Padrão,59.9,58,10.0,2,0,0
23,53,Curitiba,2858.26,Básico,29.9,31,7.0,1,0,0
24,36,São Paulo,1200.0,Padrão,59.9,33,5.0,3,1,1
25,33,Recife,1200.0,Básico,29.9,25,4.0,3,1,0
26,34,Curitiba,4432.4,Padrão,59.9,16,8.0,0,0,0
27,44,Curitiba,4735.65,Padrão,59.9,56,9.0,1,0,0
28,42,São Paulo,4408.3,Padrão,59.9,29,7.0,2,1,0
29,43,São Paulo,6835.54,Padrão,59.9,40,12.0,2,0,0
30,43,Curitiba,1200.0,Básico,29.9,3,4.0,1,0,0
31,64,São Paulo,5992.68,Básico,29.9,17,7.0,1,0,0
32,33,Belo Horizonte,7160.59,Premium,119.9,48,18.0,2,0,0
33,32,Curitiba,2289.99,Padrão,59.9,6,6.0,2,0,0
34,28,São Paulo,3516.35,Padrão,59.9,6,10.0,3,1,0
35,45,Curitiba,3354.79,Básico,29.9,48,3.0,1,0,0
36,52,Recife,3310.18,Básico,29.9,19,12.0,1,0,0
37,37,Belo Horizonte,3882.73,Básico,29.9,17,8.0,0,0,0
38,28,Rio de Janeiro,6769.47,Básico,29.9,34,16.0,2,0,0
39,28,Curitiba,7507.3,Básico,29.9,12,12.0,2,1,1
40,46,Rio de Janeiro,4135.31,Premium,119.9,3,6.0,0,0,1
41,47,Belo Horizonte,8199.11,Padrão,59.9,1,12.0,0,0,1
42,45,Curitiba,4774.04,Básico,29.9,5,5.0,0,0,0
43,30,Belo Horizonte,7416.64,Básico,29.9,10,8.0,3,0,0
44,41,São Paulo,4422.06,Básico,29.9,42,6.0,0,1,1
45,39,São Paulo,4765.9,Padrão,59.9,18,9.0,0,0,0
46,41,São Paulo,5247.85,Básico,29.9,5,6.0,1,0,0
47,48,Rio de Janeiro,10521.94,Padrão,59.9,1,14.0,0,1,0
48,41,Rio de Janeiro,6122.31,Padrão,59.9,29,6.0,2,0,0
49,46,Rio de Janeiro,3466.92,Básico,29.9,50,4.0,1,0,0
50,39,Rio de Janeiro,6274.2,Padrão,59.9,20,10.0,0,0,0
51,41,Curitiba,3938.7,Premium,119.9,4,3.0,0,0,0
52,46,Recife,3858.45,Básico,29.9,14,7.0,2,0,1
53,21,São Paulo,5625.48,Básico,29.9,30,6.0,1,0,0
54,34,Belo Horizonte,4435.95,Premium,119.9,12,6.0,2,0,0
55,32,Belo Horizonte,,Premium,119.9,58,12.0,3,0,0
56,30,Rio de Janeiro,4285.17,Padrão,59.9,46,8.0,3,0,0
57,35,São Paulo,5015.85,Padrão,59.9,21,8.0,3,0,0
58,56,Curitiba,5804.94,Básico,29.9,57,14.0,0,0,0
59,28,Recife,1200.0,Padrão,59.9,20,4.0,0,0,0
60,50,Belo Horizonte,6059.83,Básico,29.9,9,8.0,0,0,0
61,18,Recife,2132.37,Básico,29.9,56,5.0,0,0,0
62,34,Recife,1783.86,Padrão,59.9,57,4.0,1,0,0
63,40,Rio de Janeiro,4454.86,Premium,119.9,19,6.0,2,0,0
64,45,Belo Horizonte,4861.17,Padrão,59.9,36,12.0,0,0,0
65,47,Rio de Janeiro,3521.69,Básico,29.9,11,9.0,2,0,0
66,48,Recife,6295.86,Básico,29.9,38,15.0,0,0,0
67,34,São Paulo,1964.08,Premium,119.9,41,6.0,1,0,0
68,32,Rio de Janeiro,3587.5,Premium,119.9,42,3.0,1,0,0
69,48,Curitiba,3747.23,Padrão,59.9,34,8.0,0,0,0
70,36,São Paulo,4356.14,Padrão,59.9,42,7.0,1,0,0
71,23,Curitiba,4551.96,Básico,29.9,33,5.0,2,0,0
72,24,Rio de Janeiro,2265.79,Básico,29.9,49,11.0,1,0,0
73,27,Recife,5473.71,Básico,29.9,11,7.0,2,0,0
74,44,Curitiba,4793.4,Básico,29.9,29,8.0,1,0,0
75,40,São Paulo,1200.0,Básico,29.9,25,1.0,1,0,0
76,46,Curitiba,1214.54,Padrão,59.9,32,4.0,0,0,0
77,33,São Paulo,4327.83,Básico,29.9,9,5.0,1,1,1
78,40,Belo Horizonte,4162.26,Básico,29.9,20,5.0,3,0,0
79,46,Belo Horizonte,4553.84,Padrão,59.9,57,5.0,2,0,0
80,34,Curitiba,4329.63,Básico,29.9,7,7.0,0,0,0
81,43,São Paulo,5056.01,Básico,29.9,38,10.0,1,0,0
82,30,São Paulo,5965.77,Padrão,59.9,40,8.0,3,0,1
83,34,Belo Horizonte,2380.01,Básico,29.9,28,3.0,1,0,0
84,33,Rio de Janeiro,,Padrão,59.9,2,3.0,2,0,0
85,24,Rio de Janeiro,2112.02,Premium,119.9,3,11.0,0,0,0
86,44,São Paulo,5200.05,Básico,29.9,17,8.0,1,0,0
87,32,São Paulo,6560.91,Premium,119.9,7,9.0,1,0,0
88,38,Curitiba,3723.59,Premium,119.9,6,7.0,0,0,0
89,44,São Paulo,1200.0,Padrão,59.9,10,1.0,0,0,0
90,43,Rio de Janeiro,1582.81,Padrão,59.9,12,6.0,1,0,0
91,46,Recife,3240.53,Padrão,59.9,50,4.0,2,0,0
92,37,São Paulo,3466.09,Padrão,59.9,38,7.0,0,1,0
93,33,Belo Horizonte,,Padrão,59.9,2,3.0,0,0,0
94,37,São Paulo,4539.45,Básico,29.9,38,9.0,2,1,0
95,18,Curitiba,3338.86,Premium,119.9,9,6.0,0,0,1
96,21,Belo Horizonte,5878.81,Padrão,59.9,25,3.0,1,0,0
97,22,Curitiba,2803.17,Padrão,59.9,3,4.0,1,0,0
98,26,São Paulo,2587.83,Básico,29.9,6,8.0,1,0,0
99,43,Rio de Janeiro,5511.98,Básico,29.9,8,13.0,1,0,1
100,27,Curitiba,1405.84,Padrão,59.9,26,3.0,1,0,0
101,33,São Paulo,5051.45,Padrão,59.9,28,6.0,1,0,0
102,54,São Paulo,5164.6,Básico,29.9,21,5.0,0,0,0
103,34,São Paulo,4114.6,Básico,29.9,37,9.0,1,0,0
104,47,Recife,7628.9,Básico,29.9,43,13.0,0,0,0
105,27,Belo Horizonte,3050.03,Padrão,59.9,43,7.0,3,1,0
106,36,Belo Horizonte,8148.54,Básico,29.9,35,10.0,2,0,0
107,27,Belo Horizonte,3764.22,Premium,119.9,33,6.0,1,0,0
108,34,Rio de Janeiro,2081.37,Básico,29.9,30,5.0,2,0,0
109,48,Rio de Janeiro,4925.86,Básico,29.9,15,3.0,1,0,0
110,18,Rio de Janeiro,1962.76,Básico,29.9,29,4.0,1,0,0
111,43,Belo Horizonte,3296.84,Padrão,59.9,1,2.0,1,0,0
112,41,São Paulo,5304.66,Básico,29.9,58,10.0,0,0,0
113,31,Curitiba,5290.05,Padrão,59.9,22,8.0,1,0,0
114,21,Curitiba,2870.1,Premium,119.9,45,8.0,0,0,0
115,39,São Paulo,6307.33,Básico,29.9,57,10.0,2,0,0
116,32,Rio de Janeiro,6403.51,Padrão,59.9,30,15.0,3,0,0
117,41,São Paulo,7175.34,Básico,29.9,51,12.0,1,0,0
118,38,Recife,5452.94,Básico,29.9,29,13.0,0,0,0
119,57,Recife,7524.17,Básico,29.9,8,9.0,1,0,1
120,35,Recife,1200.0,Básico,29.9,2,4.0,0,0,0
121,26,São Paulo,3567.77,Padrão,59.9,9,5.0,2,0,0
122,40,São Paulo,2999.39,Padrão,59.9,56,5.0,4,1,0
123,41,São Paulo,4804.61,Padrão,59.9,29,7.0,0,0,0
124,54,São Paulo,3951.39,Padrão,59.9,19,5.0,2,0,0
125,48,São Paulo,4500.92,Padrão,59.9,27,13.0,2,0,0
126,42,São Paulo,8007.91,Básico,29.9,16,16.0,1,0,0
127,56,Recife,4734.5,Básico,29.9,52,4.0,0,0,0
128,24,São Paulo,4824.83,Básico,29.9,59,7.0,2,0,0
129,30,São Paulo,3841.92,Padrão,59.9,6,1.0,0,0,0
130,27,Curitiba,4306.28,Premium,119.9,43,7.0,1,0,0
131,33,Rio de Janeiro,,Básico,29.9,20,6.0,1,0,0
132,21,Curitiba,4796.98,Padrão,59.9,3,8.0,2,0,0
133,46,Belo Horizonte,6837.55,Padrão,59.9,55,10.0,1,1,0
134,35,Curitiba,7375.31,Padrão,59.9,4,13.0,3,0,1
135,20,Belo Horizonte,4517.32,Padrão,59.9,13,12.0,3,0,0
136,26,Rio de Janeiro,5201.18,Padrão,59.9,2,12.0,0,0,0
137,42,Belo Horizonte,2548.44,Padrão,59.9,28,,2,0,0
138,48,Rio de Janeiro,4641.82,Premium,119.9,36,9.0,1,0,0
139,62,São Paulo,6912.52,Básico,29.9,19,9.0,1,0,0
140,73,Rio de Janeiro,7108.74,Premium,119.9,5,8.0,5,0,1
141,43,São Paulo,5030.9,Básico,29.9,7,7.0,3,0,0
142,26,Curitiba,5735.51,Padrão,59.9,56,2.0,0,0,0
143,18,São Paulo,4783.38,Básico,29.9,48,6.0,2,0,0
144,41,São Paulo,6750.55,Básico,29.9,56,10.0,1,0,0
145,28,São Paulo,4720.85,Básico,29.9,32,7.0,0,1,0
146,33,Curitiba,3709.74,Básico,29.9,33,6.0,1,0,0
147,31,São Paulo,4894.51,Básico,29.9,47,6.0,0,1,0
148,36,Belo Horizonte,1200.0,Básico,29.9,37,2.0,0,1,0
149,51,Curitiba,5579.19,Básico,29.9,26,5.0,2,0,0
150,40,São Paulo,1200.0,Básico,29.9,18,5.0,0,0,0
151,36,Curitiba,1337.77,Padrão,59.9,29,6.0,1,1,0
152,26,São Paulo,4953.18,Premium,119.9,4,10.0,1,0,0
153,18,São Paulo,4759.55,Padrão,59.9,12,6.0,1,0,0
154,32,Belo Horizonte,2227.63,Básico,29.9,44,6.0,1,0,0
155,37,Recife,3188.22,Básico,29.9,52,5.0,0,0,0
156,59,São Paulo,7596.97,Premium,119.9,7,15.0,0,1,1
157,40,Rio de Janeiro,3688.75,Básico,29.9,6,9.0,0,0,0
158,50,São Paulo,8897.26,Básico,29.9,6,8.0,0,1,1
159,32,Rio de Janeiro,4316.54,Premium,119.9,47,5.0,1,0,0
160,24,Belo Horizonte,4814.47,Premium,119.9,19,9.0,1,0,0
161,26,Belo Horizonte,7050.37,Básico,29.9,20,,4,0,1
162,29,Belo Horizonte,4465.85,Padrão,59.9,1,10.0,2,1,0
163,64,São Paulo,3475.78,Básico,29.9,58,2.0,0,1,0
164,28,Belo Horizonte,4002.49,Padrão,59.9,26,9.0,1,1,0
165,48,Belo Horizonte,4735.9,Básico,29.9,48,5.0,0,0,0
166,27,Belo Horizonte,1713.47,Básico,29.9,42,3.0,1,0,0
167,49,São Paulo,4369.5,Padrão,59.9,9,6.0,3,0,0
168,43,Rio de Janeiro,3314.05,Básico,29.9,48,11.0,2,1,0
169,36,Rio de Janeiro,6103.84,Padrão,59.9,33,8.0,0,0,0
170,38,São Paulo,4562.3,Básico,29.9,36,10.0,2,0,0
171,30,São Paulo,3750.97,Premium,119.9,12,2.0,2,0,0
172,43,Rio de Janeiro,4458.87,Padrão,59.9,50,6.0,0,0,0
173,33,Belo Horizonte,4751.62,Básico,29.9,55,,1,0,0
174,23,São Paulo,5160.27,Padrão,59.9,24,5.0,0,0,0
175,23,Curitiba,2250.52,Básico,29.9,6,6.0,2,0,1
176,40,Rio de Janeiro,2685.14,Básico,29.9,51,,1,0,0
177,57,Curitiba,7058.42,Básico,29.9,53,13.0,3,0,0
178,40,Rio de Janeiro,3817.79,Premium,119.9,30,6.0,2,0,0
179,37,Rio de Janeiro,1919.68,Padrão,59.9,35,5.0,2,0,0
180,41,Belo Horizonte,5388.86,Premium,119.9,14,9.0,0,0,0
181,54,Recife,5814.07,Premium,119.9,4,12.0,1,0,0
182,41,Rio de Janeiro,1834.71,Premium,119.9,56,4.0,2,0,0
183,33,Rio de Janeiro,4763.07,Básico,29.9,29,11.0,0,0,0
184,51,Belo Horizonte,6214.05,Premium,119.9,17,12.0,1,1,1
185,43,Belo Horizonte,5323.9,Padrão,59.9,41,12.0,1,0,0
186,56,São Paulo,6177.57,Básico,29.9,2,9.0,1,0,0
187,40,Rio de Janeiro,2032.32,Padrão,59.9,5,2.0,0,0,0
188,23,Rio de Janeiro,4645.87,Básico,29.9,15,5.0,2,0,0
189,22,Recife,3475.28,Básico,29.9,27,9.0,1,1,0
190,58,Rio de Janeiro,4230.98,Básico,29.9,22,5.0,3,1,0
191,59,Rio de Janeiro,6697.0,Básico,29.9,12,16.0,0,0,0
192,36,Recife,7102.69,Básico,29.9,21,13.0,3,1,1
193,33,Rio de Janeiro,7579.87,Premium,119.9,20,12.0,2,0,0
194,56,São Paulo,7406.65,Padrão,59.9,31,7.0,2,0,0
195,25,São Paulo,3912.48,Padrão,59.9,34,6.0,1,0,0
196,27,São Paulo,4804.9,Básico,29.9,53,9.0,1,0,0
197,46,São Paulo,6120.28,Básico,29.9,48,14.0,0,0,0
198,33,Rio de Janeiro,4568.12,Básico,29.9,18,2.0,0,0,0
199,38,Curitiba,4735.38,Padrão,59.9,54,8.0,0,0,0
200,36,Belo Horizonte,5922.76,Básico,29.9,31,10.0,0,0,0
201,42,São Paulo,4513.29,Padrão,59.9,12,6.0,1,0,0
202,55,Rio de Janeiro,3697.28,Padrão,59.9,21,3.0,0,0,0
203,39,São Paulo,3783.95,Padrão,59.9,44,8.0,0,0,0
204,46,Recife,,Premium,119.9,49,9.0,1,0,0
205,18,São Paulo,3905.39,Básico,29.9,23,7.0,3,0,0
206,37,Belo Horizonte,5082.38,Premium,119.9,10,11.0,2,0,0
207,28,São Paulo,5406.14,Padrão,59.9,12,11.0,2,0,0
208,23,Belo Horizonte,3375.29,Padrão,59.9,7,7.0,1,0,0
209,27,Rio de Janeiro,5531.25,Padrão,59.9,42,8.0,0,0,0
210,34,Curitiba,5061.92,Padrão,59.9,30,5.0,1,1,0
211,49,São Paulo,2607.34,Premium,119.9,27,8.0,0,0,0
212,22,Recife,6616.15,Básico,29.9,40,10.0,0,0,0
213,38,Rio de Janeiro,3598.66,Padrão,59.9,49,5.0,2,0,0
214,32,Curitiba,1340.83,Padrão,59.9,47,0.0,2,0,0
215,34,Curitiba,2498.92,Básico,29.9,9,6.0,1,0,1
216,50,Recife,3022.12,Premium,119.9,35,6.0,2,0,0
217,44,São Paulo,4773.91,Básico,29.9,53,,2,0,0
218,54,São Paulo,4487.07,Padrão,59.9,46,2.0,3,1,0
219,36,São Paulo,3833.7,Básico,29.9,20,3.0,0,0,0
220,30,São Paulo,,Básico,29.9,24,,3,0,0
221,35,Rio de Janeiro,5021.78,Padrão,59.9,53,10.0,0,1,0
222,41,Recife,5158.89,Básico,29.9,2,4.0,0,0,1
223,40,Recife,5297.69,Básico,29.9,31,8.0,1,1,0
